dt,MEG,CEB,BDO,ALI,MER,AC,JGS,URC,JFC,SEVN,BMM,CAT,FGEN,MAXS,PGOLD
2014-01-02,3.31,49.0,71.0,25.5,256.0,525.5,39.0,118.0,175.9,,,,14.02,15.1,39.0
2014-01-03,3.31,49.4,70.45,25.25,254.2,520.5,38.85,119.0,172.0,98.0,,,14.14,15.3,39.2
2014-01-06,3.41,49.5,71.8,25.5,260.0,525.5,39.5,119.4,175.0,97.0,,,14.28,15.2,39.0
2014-01-07,3.4,49.25,71.85,25.6,257.0,524.0,38.2,115.5,172.0,95.0,,,14.36,15.1,39.1
2014-01-08,3.38,50.95,72.55,26.1,263.0,530.5,39.2,118.7,169.5,95.0,,,14.86,14.64,39.2
2014-01-09,3.3,51.0,70.55,25.8,254.6,525.0,39.0,119.3,169.0,95.5,,,14.8,,39.15
2014-01-10,3.28,50.75,70.0,25.7,250.2,510.0,39.0,117.0,165.8,95.5,,,14.52,14.68,38.7
2014-01-13,3.36,51.5,71.8,26.1,251.8,525.0,38.6,119.5,167.5,,,,15.0,14.7,39.0
2014-01-14,3.44,50.95,71.5,26.4,250.2,524.0,38.5,119.5,163.5,99.5,,,14.98,15.0,38.9
2014-01-15,3.4,49.5,71.9,26.65,249.0,530.5,38.5,122.1,163.5,99.5,,,15.12,14.72,38.85
2014-01-16,3.46,49.5,72.1,26.45,250.8,538.0,39.0,122.1,166.6,100.0,,,15.28,15.0,39.0
2014-01-17,3.52,49.7,72.25,26.45,252.6,537.5,39.0,121.8,167.0,99.5,,,15.34,15.0,39.0
2014-01-20,3.59,49.95,72.3,26.75,251.8,540.0,39.3,122.5,167.0,100.0,,,15.32,15.0,38.85
2014-01-21,3.59,49.9,73.9,26.7,253.0,539.0,38.8,122.4,168.0,,,,15.42,15.2,39.1
2014-01-22,3.6,50.0,77.05,27.5,253.0,545.0,40.0,122.3,170.0,99.5,,,16.0,15.2,39.55
2014-01-23,3.62,49.9,80.0,27.55,256.4,530.0,41.55,121.9,167.0,100.0,,,15.96,15.28,39.5
2014-01-24,3.56,50.0,81.75,27.55,260.0,544.0,41.8,124.3,164.7,99.5,,,15.94,15.2,39.6
2014-01-27,3.54,50.0,80.25,27.1,256.0,534.0,40.05,122.6,162.4,100.0,,,15.92,15.1,39.0
2014-01-28,3.5,49.6,80.0,26.35,252.0,520.5,39.0,119.5,157.6,,,,15.88,15.1,38.65
2014-01-29,3.59,49.5,80.2,26.5,256.2,528.0,39.65,120.4,157.0,100.0,,,15.76,15.1,38.8
2014-01-30,3.57,49.5,79.0,26.2,258.8,524.0,39.4,118.1,152.0,100.0,,,15.6,15.1,38.5
2014-02-03,3.58,49.5,78.5,26.7,251.0,527.0,39.1,117.0,152.8,103.0,,,15.58,15.1,38.4
2014-02-04,3.5,48.95,77.25,25.55,248.2,520.0,37.7,114.4,151.0,99.5,,,15.3,15.0,38.3
2014-02-05,3.5,48.95,77.95,25.8,248.0,520.5,37.85,116.0,151.6,,,,15.28,15.3,38.65
2014-02-06,3.58,49.95,79.3,25.65,247.0,521.0,37.4,115.0,151.0,100.0,,16.0,15.3,15.0,39.0
2014-02-07,3.74,49.95,79.5,26.15,249.0,525.5,38.1,117.8,152.5,100.0,,,15.6,15.0,39.0
2014-02-10,3.72,49.95,79.0,25.95,251.0,533.0,39.95,119.0,152.5,100.0,,,16.08,15.1,40.2
2014-02-11,3.76,49.95,79.9,26.15,255.0,543.0,40.2,120.2,152.9,100.0,,,16.12,15.1,41.05
2014-02-12,3.89,49.95,80.0,25.8,256.0,542.0,39.95,122.8,152.4,100.0,,,16.26,15.1,41.4
2014-02-13,3.78,49.2,80.0,26.1,255.4,538.5,41.6,123.0,151.6,101.0,50.0,,16.36,,41.1
2014-02-14,3.83,48.9,80.0,26.3,255.0,540.0,41.5,125.3,153.0,,,,16.76,15.3,41.1
2014-02-17,3.89,49.9,80.95,26.35,256.0,540.0,41.65,128.0,157.9,96.0,,,16.9,15.0,42.65
2014-02-18,3.86,49.9,81.0,27.2,263.0,555.0,41.8,126.2,162.0,100.0,,,16.88,15.0,41.7
2014-02-19,3.93,49.95,81.8,28.65,274.8,582.5,42.8,129.0,163.0,100.0,,16.0,16.82,,43.8
2014-02-20,3.95,49.85,84.0,28.85,274.0,580.0,44.0,134.5,167.0,100.0,,16.0,16.8,15.06,44.5
2014-02-21,3.91,48.8,83.35,28.75,273.0,567.5,43.8,131.0,160.5,97.0,,16.0,17.02,,43.7
2014-02-24,4.02,49.0,83.15,28.4,282.0,560.0,44.05,131.0,160.7,,58.95,,17.32,15.3,45.0
2014-02-25,4.16,49.0,84.05,28.1,286.0,560.0,45.15,133.4,159.5,97.0,,,17.84,15.3,44.6
2014-02-26,4.1,48.95,83.5,28.0,288.0,556.0,45.1,137.0,159.0,97.0,52.0,,18.1,19.0,45.2
2014-02-27,4.15,48.9,83.45,29.2,285.0,562.5,46.15,140.0,162.6,103.2,40.2,16.48,18.38,21.1,45.5
2014-02-28,4.2,50.45,84.0,30.5,278.8,575.5,46.9,140.0,171.0,97.1,,16.0,17.88,27.0,46.7
2014-03-03,4.2,49.0,83.35,29.85,281.0,569.0,47.65,137.0,168.0,102.5,,16.48,18.0,33.0,45.75
2014-03-04,4.21,48.9,83.95,29.25,282.0,562.0,49.0,134.5,167.0,,,,18.14,32.0,45.55
2014-03-05,4.25,48.95,84.35,29.9,285.2,574.0,49.1,136.0,162.5,97.0,,16.48,18.4,23.25,45.15
2014-03-06,4.23,48.85,84.5,29.6,283.6,575.0,50.05,138.0,166.0,97.0,,,18.46,23.0,45.0
2014-03-07,4.19,49.0,84.25,29.4,279.0,572.0,49.0,140.0,166.6,,50.0,,18.24,24.0,44.95
2014-03-10,4.17,49.0,84.55,29.25,279.0,572.0,48.95,139.0,167.5,99.85,,,18.16,23.9,45.05
2014-03-11,4.18,49.0,84.75,29.3,283.0,578.0,49.0,141.0,167.4,97.0,,,18.2,22.4,44.85
2014-03-12,4.05,48.8,84.7,28.5,281.6,560.0,48.75,141.4,166.1,95.2,,,18.18,23.5,44.35
2014-03-13,4.17,49.0,84.95,28.7,283.4,563.0,48.35,140.3,168.0,96.5,,,18.12,22.8,45.4
2014-03-14,4.1,47.9,83.6,28.4,290.0,564.0,50.0,138.3,165.0,97.0,,16.5,18.06,24.5,45.7
2014-03-17,4.03,47.45,83.8,28.3,286.0,555.0,51.0,138.0,167.4,,,23.65,18.48,24.25,45.6
2014-03-18,4.09,48.45,85.0,28.95,288.0,564.0,51.0,140.1,168.4,98.5,68.0,32.2,18.5,23.25,45.2
2014-03-19,4.14,48.4,84.7,28.5,289.6,562.0,50.8,140.1,168.6,98.5,,22.1,19.0,23.0,45.5
2014-03-20,4.07,47.5,84.1,28.4,284.0,559.0,49.6,139.7,166.7,98.5,,24.1,19.6,23.35,44.0
2014-03-21,4.08,47.55,82.0,28.75,279.0,562.5,47.0,140.5,166.5,98.5,,29.0,19.84,23.25,44.0
2014-03-24,4.1,47.2,83.1,28.7,279.0,566.0,48.5,140.5,168.3,98.55,,34.9,19.4,23.25,44.3
2014-03-25,4.12,46.2,83.1,28.35,276.8,558.0,48.5,138.2,166.7,99.0,,34.0,18.9,23.25,44.9
2014-03-26,4.15,46.2,82.7,28.25,275.6,566.0,49.0,136.4,166.0,99.0,,35.2,18.98,21.75,44.0
2014-03-27,4.13,46.05,82.9,28.45,273.8,567.0,48.0,135.6,166.9,98.4,,37.0,18.78,21.6,43.95
2014-03-28,4.13,46.2,83.95,29.6,278.0,565.5,48.5,137.0,168.0,98.0,,28.5,18.8,21.3,43.95
2014-03-31,4.19,47.95,85.0,29.9,284.0,578.0,49.5,142.0,171.0,,,32.0,18.76,22.2,44.0
2014-04-01,4.32,46.45,86.0,30.4,287.8,590.0,49.5,142.0,172.0,98.5,,31.9,18.7,,44.0
2014-04-02,4.49,46.7,87.0,31.05,291.2,613.0,49.85,146.5,172.1,98.5,,32.5,18.88,23.0,45.75
2014-04-03,4.45,47.0,86.5,31.6,291.0,610.0,50.0,145.1,175.0,97.0,,30.0,19.1,23.0,46.5
2014-04-04,4.41,46.95,85.75,31.4,292.4,605.0,50.0,146.9,171.0,99.0,,31.75,19.98,23.4,45.55
2014-04-07,4.39,47.0,87.0,31.3,289.0,606.0,51.6,147.1,177.0,97.0,,37.4,19.88,21.2,45.5
2014-04-08,4.37,47.0,85.8,30.9,285.2,605.5,51.6,147.4,176.0,97.0,,36.95,18.1,21.6,45.1
2014-04-10,4.51,48.55,87.65,30.4,284.0,613.0,52.55,148.0,177.0,99.5,,38.45,18.44,21.45,44.35
2014-04-11,4.49,51.0,87.0,29.55,284.0,619.0,52.0,146.4,176.8,97.0,,56.0,18.88,23.25,44.6
2014-04-14,4.4,51.0,88.0,30.1,282.8,616.5,51.95,144.7,176.9,97.0,68.0,66.9,18.86,21.9,44.6
2014-04-15,4.39,50.3,88.55,30.2,281.4,612.0,51.95,145.1,176.5,97.0,52.1,64.9,18.5,22.0,44.35
2014-04-16,4.38,49.65,88.35,30.4,282.0,618.0,51.9,145.4,176.4,,,60.0,18.9,,44.65
2014-04-21,4.47,50.4,88.75,30.95,283.8,621.0,51.85,146.0,175.7,97.0,,60.1,18.94,23.0,45.1
2014-04-22,4.57,50.95,89.0,30.7,283.8,616.0,52.1,146.0,176.2,,,59.9,19.24,21.0,45.9
2014-04-23,4.55,52.2,88.55,30.55,281.8,623.5,52.0,146.7,176.0,97.0,,56.1,19.26,21.5,45.4
2014-04-24,4.57,51.0,88.0,30.65,275.0,623.0,51.7,148.5,173.2,97.0,,46.1,19.24,21.2,45.3
2014-04-25,4.59,51.0,87.1,30.35,270.4,625.0,51.0,147.1,168.5,96.5,,50.1,19.3,19.72,45.0
2014-04-28,4.43,52.0,86.95,29.7,265.0,614.0,49.0,145.4,168.3,95.0,68.0,50.1,18.98,21.15,45.2
2014-04-29,4.45,52.1,88.3,29.85,273.4,618.5,49.85,145.0,171.0,95.0,,47.0,18.96,20.0,45.8
2014-04-30,4.65,52.5,88.25,30.1,280.8,624.0,50.6,146.0,172.0,94.0,,49.9,19.0,,45.95
2014-05-02,4.67,53.0,88.7,30.15,278.0,621.5,50.8,146.2,174.8,92.5,,49.05,19.06,21.3,46.0
2014-05-05,4.63,53.0,88.5,30.75,277.2,625.0,50.85,146.5,176.2,93.5,,46.0,19.34,21.5,46.0
2014-05-06,4.75,53.4,88.2,30.9,273.2,626.0,50.85,146.6,174.8,97.0,,49.7,19.32,22.4,46.0
2014-05-07,4.7,53.45,87.85,31.0,272.0,625.0,49.5,146.9,174.9,95.2,,44.0,19.52,21.5,45.55
2014-05-08,4.67,54.5,88.65,30.95,273.6,628.0,49.35,147.0,172.9,98.0,,44.9,19.48,,45.75
2014-05-09,4.68,55.35,88.85,31.95,274.0,635.0,50.0,147.9,174.0,98.0,,43.0,20.1,,46.0
2014-05-12,4.55,55.4,88.1,31.75,274.0,639.5,50.15,150.0,173.5,96.95,,45.25,19.94,21.85,46.0
2014-05-13,4.66,58.0,89.3,32.0,275.4,645.0,51.7,151.2,173.3,94.0,,49.5,20.15,32.75,48.0
2014-05-14,4.68,54.1,88.65,32.6,275.4,658.5,51.55,155.5,176.0,97.0,,52.0,20.2,39.0,48.15
2014-05-15,4.71,54.05,88.4,32.55,273.0,650.5,50.8,155.0,177.9,96.0,,55.9,19.98,36.4,46.5
2014-05-16,4.64,54.3,88.55,32.05,268.0,649.0,50.0,154.8,180.0,95.0,,59.95,19.98,33.0,43.9
2014-05-19,4.65,54.05,88.65,32.5,265.0,647.0,51.75,154.0,186.0,94.05,,58.0,19.6,32.0,42.25
2014-05-20,4.62,54.3,88.7,32.9,265.0,650.0,51.85,155.0,189.6,94.05,,55.0,20.45,29.45,42.45
2014-05-21,4.54,54.4,87.1,32.4,262.8,645.5,51.1,149.8,185.0,93.5,,55.0,19.8,33.5,41.6
2014-05-22,4.57,54.7,87.0,32.6,264.0,654.0,50.95,152.5,185.5,93.6,,67.0,20.3,33.5,41.95
2014-05-23,4.52,54.55,89.5,32.15,263.8,651.0,50.0,152.0,186.4,93.4,,79.9,20.0,32.75,41.1
2014-05-26,4.57,54.1,88.4,32.15,263.8,642.0,50.0,151.1,187.0,91.5,61.0,75.0,19.9,32.5,41.1
2014-05-27,4.6,54.1,88.35,32.05,262.0,640.0,49.95,150.0,186.0,,77.0,77.0,20.3,31.2,42.65
2014-05-28,4.64,54.1,88.9,31.85,261.4,641.0,49.05,150.4,187.0,96.0,80.0,76.5,20.1,31.5,43.3
2014-05-29,4.53,54.15,88.4,30.5,255.4,636.0,46.6,150.0,185.3,91.55,89.4,76.0,19.9,32.0,41.4
2014-05-30,4.7,54.5,88.4,30.0,255.0,618.0,49.3,149.0,179.1,95.7,75.0,75.0,19.6,32.0,41.8
2014-06-02,4.65,54.8,87.9,30.65,258.0,627.5,48.5,149.2,180.4,91.0,80.0,73.0,20.45,30.3,41.45
2014-06-03,4.7,55.15,89.3,31.75,260.2,641.0,50.0,153.3,183.6,90.0,80.5,72.0,20.9,31.0,41.5
2014-06-04,4.66,55.5,90.4,30.6,261.2,640.0,50.4,153.3,180.2,92.0,81.0,70.0,21.3,30.3,42.5
2014-06-05,4.65,55.8,90.2,30.85,259.8,640.0,51.0,153.0,179.3,,80.0,71.4,21.3,31.95,43.8
2014-06-06,4.61,56.2,90.2,30.8,259.6,635.5,50.0,152.8,180.0,,65.0,71.0,21.75,31.95,43.65
2014-06-09,4.6,57.2,90.6,30.9,259.2,640.0,50.85,154.8,178.0,92.0,72.0,70.0,22.0,36.95,43.25
2014-06-10,4.58,56.8,91.2,30.6,259.0,640.0,50.75,154.9,178.0,91.0,72.0,69.5,21.85,38.3,42.05
2014-06-11,4.56,58.7,92.65,31.55,257.0,637.5,51.5,155.0,176.0,,68.0,69.0,22.2,40.0,41.65
2014-06-13,4.51,57.0,91.8,31.0,256.0,640.0,50.95,155.0,175.0,94.95,68.0,65.0,22.0,39.4,42.0
2014-06-16,4.52,57.9,91.2,31.3,256.4,640.0,50.0,154.5,175.0,94.9,65.5,62.0,22.0,40.0,43.25
2014-06-17,4.51,57.55,88.9,30.3,254.0,635.0,49.75,153.6,176.0,94.0,76.55,72.0,22.0,38.25,43.3
2014-06-18,4.41,58.0,89.05,30.15,254.0,633.0,50.75,154.0,175.4,90.0,87.6,72.0,22.1,38.0,42.95
2014-06-19,4.38,58.1,89.0,30.05,253.0,635.0,50.8,152.2,174.4,90.0,76.7,75.0,22.1,36.05,43.1
