dt,HOUSE,BRN,AREIT,ARA,ALCO,ALI,BEL,CHI,CLI,CPG,LAND,CDC,CEI,CYBR,DMW,DD,ELI,EVER,FLI,GERI,MRC,MEG,PHES,IRC,RLT,PMT,PRMX,RLC,ROCK,SMPH,SHNG,SLI,SUN,VLL,STR
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,17.920000076293945,,,,,,,,,
2010-10-04,,3.04,,0.405,,18.38,2.3,2.28,,0.27,,,,0.6,,,0.6,0.122,1.42,0.7,0.68,2.39,0.08800000000000001,,0.81,17.649999618530273,,17.6,,13.08,1.82,2.37,0.52,3.3,
2010-10-05,,3.09,,0.4,0.192,18.32,2.32,2.3,,,1.52,1.41,,0.61,,,0.59,0.12,1.4,0.71,0.69,2.36,0.09,,0.88,17.90999984741211,,17.4,,12.9,1.82,2.28,0.51,3.3,4.3
2010-10-06,,3.09,,0.405,0.188,18.3,2.39,2.34,,0.27,1.52,1.5,0.043,0.6,,,0.59,0.115,1.43,0.71,0.69,2.42,0.08800000000000001,0.82,0.84,17.809999465942383,,17.26,,13.04,1.81,2.42,0.51,3.35,5.18
2010-10-07,,3.04,,0.42,0.185,18.44,2.4,2.34,,0.27,1.5,1.44,0.043,0.6,,,0.6,0.115,1.41,0.68,0.69,2.42,,,0.84,17.75,,17.34,,13.0,1.81,2.34,0.51,3.33,5.75
2010-10-08,,3.03,,,0.185,18.04,2.39,2.3,,0.275,1.5,1.42,,0.61,,,0.58,0.115,1.38,0.68,0.67,2.36,,,0.8,17.8799991607666,,17.1,,12.78,1.8,2.35,0.51,3.32,7.18
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,17.84000015258789,,,,,,,,,
2010-10-12,,3.01,,,0.185,16.84,2.36,2.32,,0.26,,,0.040999999999999995,0.6,,,0.57,0.11,1.34,0.61,0.65,2.24,0.085,,0.75,17.639999389648438,,16.4,,11.98,1.77,2.24,0.51,3.2,6.89
2010-10-13,,3.13,,,0.183,17.6,2.4,2.34,,0.27,,,,0.61,,,0.57,,1.36,0.6,0.62,2.33,,,0.77,17.8700008392334,,16.6,,11.98,1.76,2.22,,3.17,7.41
2010-10-14,,3.25,,0.4,0.182,17.9,2.4,2.38,,0.27,,1.5,,0.61,,,0.6,0.115,1.4,0.63,0.61,2.49,0.085,,0.76,17.760000228881836,,16.7,,11.98,1.76,2.09,0.53,3.26,7.21
2010-10-15,,3.27,,,0.192,17.48,2.38,2.38,,0.26,,1.45,,0.6,,,0.58,0.11,1.4,0.62,0.57,2.5,0.092,,0.76,17.729999542236328,,16.54,,11.7,1.75,2.08,0.51,3.24,7.32
2010-10-18,,3.1,,,0.182,17.3,2.38,2.38,,,1.52,1.42,,0.59,,,0.57,,1.36,0.59,0.59,2.45,0.09,,0.74,17.989999771118164,,16.5,,11.72,1.74,2.0,0.5,3.24,7.2
2010-10-19,,3.1,,0.35,0.18,16.98,2.35,2.36,,,1.5,1.42,0.042,0.59,,,0.58,0.106,1.37,0.58,0.58,2.59,0.09,0.72,0.74,17.559999465942383,,16.4,,11.9,1.74,2.02,0.49,3.3,6.88
2010-10-20,,3.05,,,0.172,16.96,2.33,2.39,,0.255,1.5,1.43,0.040999999999999995,0.59,,,0.58,0.105,1.39,0.59,0.58,2.53,0.085,,0.74,17.889999389648438,,16.4,,11.74,1.73,2.01,0.5,3.25,7.08
2010-10-21,,3.01,,,,16.94,2.33,2.4,,,,1.41,,0.58,,,0.57,0.11,1.39,0.61,0.6,2.56,,,0.75,17.65999984741211,,16.52,,12.1,1.73,1.99,,3.27,7.11
2010-10-22,,3.03,,,0.182,16.98,2.34,2.4,,,1.7,1.42,0.040999999999999995,0.59,,,0.58,,1.4,0.62,0.6,2.55,0.09,,0.76,17.299999237060547,,17.2,,12.06,1.75,2.06,0.51,3.26,7.18
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,17.190000534057617,,,,,,,,,
2010-10-26,,3.1,,,0.18,16.5,2.33,2.4,,0.255,1.48,1.42,,0.63,,,0.57,0.109,1.39,0.6,0.6,2.52,0.09,,0.79,17.1200008392334,,17.0,,12.4,1.75,2.02,0.495,3.29,7.28
2010-10-27,,3.1,,0.38,0.17800000000000002,16.5,2.33,2.38,,,,1.42,,0.64,,,0.57,0.102,1.4,0.61,0.64,2.51,0.081,,0.8,17.1299991607666,,17.0,,12.1,1.74,2.0,0.5,3.3,7.16
2010-10-28,,2.99,,,0.174,16.7,2.34,2.38,,,,1.41,0.039,0.62,,,0.56,0.10800000000000001,1.37,0.6,0.65,2.52,,0.73,0.78,17.329999923706055,,16.9,,12.0,,2.01,0.49,3.26,7.1
2010-10-29,,2.95,,,0.17800000000000002,16.7,2.35,2.4,,0.265,1.5,1.41,0.042,0.6,,,0.57,0.10800000000000001,1.38,0.61,0.67,2.56,,0.83,0.76,17.260000228881836,,16.92,,11.96,1.77,2.03,0.49,3.3,7.3
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,17.360000610351562,,,,,,,,,
2010-11-02,,3.0,,,0.17800000000000002,17.1,2.41,2.41,,0.275,1.5,1.4,,0.6,,,0.59,,1.44,0.62,0.68,2.74,0.09,0.73,0.75,17.600000381469727,,17.04,,11.8,1.77,2.0,0.5,3.3,7.25
